"loessed_fc","chennomrm_fc"
"GAB1",0.616424932649532,0.992234185079333
"KLRF1",0.354715772389795,0.671699596090866
"EGFR",0.365588217462647,0.559367420420598
"HSH2D",2.86531852795782,3.74435969099617
"BPIL1",0.373068453782992,0.753690696108493
"GBP1",0.335586536544484,0.706025599086912
"PTK2",1.47655793456678,1.96899821165287
"ADORA3",0.782794755415424,1.05181828522245
"HDAC4",0.173614290624253,0.363160333287968
"HSPA1B",6.67225874676286,10.1944091009334
"VAV2",1.35958458107024,1.79226922788690
"SUFU",0.389194508168275,0.708616977670224
"FCGR2A",0.502097670255872,0.936429895696605
"IL1A",0.712594737595661,0.898674838459883
"ALOX5",0.68644075741353,1.2646861021508
"OAS1",0.770547936534153,1.04878911659371
"REL",1.62378640894573,2.02233285471196
"CD40",0.62134270292765,1.28266204643629
"IL4R",1.32100167694353,1.89485048051606
"CD3E",0.744323681049237,1.08601583060836
"SP2",0.755791239750048,1.01651356953715
